title,requirement
"Software Engineer (.NET), e-Commerce BackOffice, Yahoo Taiwan","
Job description
      A Little About Us
Yahoo Shopping Mall provides B2C, B2B2C e-commerce business process analytics, reports and optimizes to power the Yahoo! E-Commerce business. We encourage new ideas and continuously experiment and evaluate new technologies to assimilate them into our infrastructure. We develop high-quality product and tools that provide our customer and partner with a focus on usability, efficiency, and depth of business growth.
A Lot About You
You will be responsible for the design and development of end-to-end features in current and future products, working with E-Commerce experts and product managers to build high availability web applications. You have strong development experience in Microsoft .NET programming and are not afraid to explore and learn new technologies. You have deep proficiency in web development and knowledge of front-end technologies like JavaScript, jQuery, and AJAX. You’d rather build something than buy it. You have an analytical and problem-solving mindset to complement your superior communication and presentation skills.
Your Day
 Create and execute e-commerce back office business and new feature design. Support code release using Git & CI/CD implementation. Responsible ECR/Bug for design, implementation & development. Cross team or functional communication. Complete hands-on Participate in troubleshooting various problems in the system. Participate in design discussion and reviews.
You Must Have
 Experience of ASP.NET (.NET Framework 3.0+) or other programming experience (etc. PHP or Java). Experience with MS SQL 2012 (or familiars such as MySql, Oracle 11g..). Experience with e-commerce management system or ERP system will be better. Strong understanding of object-oriented software design and architecture. Strong Knowledge in Windows Server 2008 R2+ and IIS 7.5+ or other web servers. Strong communication and interpersonal skills.
Primary Location
Taiwan-Taipei City-Taipei
    "
106年研發替代役-Software Engineer (eMMC/UFS),"
Job description

工作內容
工作說明：
To develop application SW on windows or Linux. The major function of application SW is for eMMC and UFS product verification, debugging and mass production.The SW job includes SW development, debugging and verification.
工作地點：
新北市新店區
工作時間：
日班
休假制度：
週休二日
工作性質：
全職 此為研發替代役職務，應徵者須具備研發替代役資格
職務類別：
軟體工程師 、 通訊軟體工程師 、 韌體工程師
工作待遇：
面議
需求人數：
1人
到職日期：
不限
職缺更新：
2017/4/28
求才條件
身份類別：
不拘
學歷限制：
碩士 以上
科系限制：
電機工程學類 , 電子工程學類 , 資訊工程學類
工作經驗：
不拘
電腦專長：
LINUX、C/C++、Java Script
附加條件：
Be familiar with C/C++, linux OS, android OS and Java Script .
工作福利
"
"Computer Vision Software Engineer, Senior","
Job description
      Job Id
Job Title Computer Vision Software Engineer, Senior
Company - Division Qualcomm Technologies, Inc. - CDMA Technology
EID
Job Area Engineering - Systems
Location Taiwan - Taipei City
Overview
We are looking for a passionate Software Engineer to design, develop computer vision solutions.
The successful candidate will be able to build high-quality, innovative and fully performing software in compliance with coding standards and technical design.
Requirements
 Proficiency with C/C++ and scriptiong language like bash script or python Excellent debugging and problem-solving skills in Linux or embedded system Familiar with full software lifecycle including algorithm initiation/development/testing/validation process
Beneficial Skills
 MS degree or higher in Computer Science or Engineering image processing and video analytics algorithm development and validation experience GNU or Web UI development experience Linux software debugging experience using gdb Video decoder, renderer & streamer development experience
Education Requirements Master of Computer Science/ Electrical Engineer/ Electronics Engineering
PhD of Computer Science
Keywords

    "
Android Software Engineer,"
Job description
      Android Multimedia SW Engineer for :
- 3D/GPU Driver
- JPEG Codec Driver
- Android SurfaceFlinger/HWComposer Porting & Performance Optimization
Requirement
- Computer Engineering/Electronic Engineering/Cummunication Engineering etc. Master or Above
- Must have good C/C++ programming skill
- Must have capability to trace large scale C/C++ code quickly
- Nice to have Linux Kernel Driver programming experience
- Nice to have Android middleware (SurfaceFligner/HWComposer, Skia)
- Nice to have OpenGL|ES, 3D pipeline background knowledge
- Nice to have JPEG codec related experience
- Nice to have SoC verification experience
    "
Mobile System Software Engineer (USB Domain),"
Job description
      Jobid: 56485112
Job Title: Mobile System Software Engineer (USB Domain)
Location: Taiwan, Taipei
What You’ll Be Doing
We are now looking for a Mobile System SW Engineer (USB 3.0) in our Taiwan, Taipei Office.
 As a mobile software engineer, you will work on newest USB 3.0 software for the latest cutting-edge NVIDIA Tegra hardware. What we need to see: 
2+ years of industry experience in embedded software is a requirementMust hold a B.S. or higher degree in Electrical Engineering, Computer Science/Engineering Excellent programming skills in C and C++ Knowledge of embedded or mobile system softwareWorking experience on Android and Embedded Linux OS is a plusPractical experience with USB 3.0 is a plusWays to stand out from the crowd: 
Excellent communications skills. May involve customer interactions A strong team player; self-motivated and good attitude Must be willing to learn and adapt new technology
NVIDIA is widely considered to be one of the technology world’s most desirable employers. We have some of the most brilliant and talented people on the planet working for us. If you're creative and autonomous, we want to hear from you!
THE WORLD LEADER IN VISUAL COMPUTING
For more than two decades, NVIDIA has pioneered visual computing, the art and science of computer graphics.
With a singular focus on this field, we offer specialized platforms for the gaming, professional visualization, data center and automotive markets.
Our work is at the center of the most consequential mega-trends in technology — virtual reality, artificial intelligence and self-driving cars.
Learn more about
"
(Global Customer Service) Service Evolution Service Evolution Software Developer (桃園/新店),"
Job description
      1. 負責新系統之開發與設計及既有系統之修改與擴充(VB .NET、C# .NET、JQuery、Java)。 2. 依使用者需求編寫程式並進行系統測試。 3. 使用 MS SQL ETL 執行資料轉換及驗證 4. 運用 SSRS 提供使用者報表
    "
Senior Java Developer,"
Job description
Location: Taipei/Tainan No of Requirements: 4  Job description: As a senior Java developer, you will participate in planning & implementing software solutions for enabling Industry 4.0 capability for a variety of scenarios. You will take a key role in the development of applications providing services to manage manufacturing processes and handle data. Simple interfaces are also needed to visual present progress and results. We are looking for energetic and skillful talent to join our team and make things happen.  Our primary tools are centered on Java and related frameworks, with development mostly done in the Eclipse IDE. Experiences with these tools are highly preferred, but above all, we value your desire to learn, understand new things and to work with others as part of a team. Being a senior member of the team working on a new domain, you will be able to make sound judgement based on available options and good evidence to back up your choices in tech and design.  Qualifications Bachelor’s degree or above, in Computer Science/Electrical Engineering or related domain At least 2 years of experience in developing Java applications, working with Spring, JSON and relevant tools, frameworks, as well as databases  Desired Skillset: Java & related frameworks Swing, SWT or similar GUI frameworks Familiar with development in Eclipse IDE Familiar with Eclipse frameworks Bonuses: Experiences in C/C++, C# Experiences in client-side Web development (JavaScript & JS frameworks such as jQuery, React.js, …) Familiarity with DBs (relational/non-relational) Familiarity with software engineering (version control, testing, …)
"
Senior iOS Developer,"
Job description
      A cloud-based streaming company provides the best multi-screen user experience for audiences all over the world.
Responsibilities
 Be responsible for designing, coding, testing, debugging, evaluating, and documenting new application development on mobile platformsParticipate in code and architecture reviews.Passion for creating exceptional software.
Qualifications
Bachelors degree or equivalent in computer scienceStrong experience with iOS development (ObjC/Swift)Familiar with OOP、Design patternsHas open source development experience.

    "
Android Software Engineer,"
Job description
      Android Multimedia SW Engineer for :
- 3D/GPU Driver
- JPEG Codec Driver
- Android SurfaceFlinger/HWComposer Porting & Performance Optimization
Requirement
- Computer Engineering/Electronic Engineering/Cummunication Engineering etc. Master or Above
- Must have good C/C++ programming skill
- Must have capability to trace large scale C/C++ code quickly
- Nice to have Linux Kernel Driver programming experience
- Nice to have Android middleware (SurfaceFligner/HWComposer, Skia)
- Nice to have OpenGL|ES, 3D pipeline background knowledge
- Nice to have JPEG codec related experience
- Nice to have SoC verification experience
    "
Mobile System Software Engineer (USB Domain),"
Job description
      Jobid: 56485112
Job Title: Mobile System Software Engineer (USB Domain)
Location: Taiwan, Taipei
What You’ll Be Doing
We are now looking for a Mobile System SW Engineer (USB 3.0) in our Taiwan, Taipei Office.
 As a mobile software engineer, you will work on newest USB 3.0 software for the latest cutting-edge NVIDIA Tegra hardware. What we need to see: 
2+ years of industry experience in embedded software is a requirementMust hold a B.S. or higher degree in Electrical Engineering, Computer Science/Engineering Excellent programming skills in C and C++ Knowledge of embedded or mobile system softwareWorking experience on Android and Embedded Linux OS is a plusPractical experience with USB 3.0 is a plusWays to stand out from the crowd: 
Excellent communications skills. May involve customer interactions A strong team player; self-motivated and good attitude Must be willing to learn and adapt new technology
NVIDIA is widely considered to be one of the technology world’s most desirable employers. We have some of the most brilliant and talented people on the planet working for us. If you're creative and autonomous, we want to hear from you!
THE WORLD LEADER IN VISUAL COMPUTING
For more than two decades, NVIDIA has pioneered visual computing, the art and science of computer graphics.
With a singular focus on this field, we offer specialized platforms for the gaming, professional visualization, data center and automotive markets.
Our work is at the center of the most consequential mega-trends in technology — virtual reality, artificial intelligence and self-driving cars.
Learn more about
"
(Global Customer Service) Service Evolution Service Evolution Software Developer (桃園/新店),"
Job description
      1. 負責新系統之開發與設計及既有系統之修改與擴充(VB .NET、C# .NET、JQuery、Java)。 2. 依使用者需求編寫程式並進行系統測試。 3. 使用 MS SQL ETL 執行資料轉換及驗證 4. 運用 SSRS 提供使用者報表
    "
Quantitative Applications Developer_Citi Fixed Income Indices_台灣花旗環球股份有限公司,"
Job description
      
工作內容
工作說明：
The software development team in Citi Fixed Income Indices is expanding and would like to hire the best graduate students or experienced software developers to join. Successful candidate will be developing and maintaining various Index applications as well as participating in index production support. Software development and support may include user interface, middleware and server development, database and SQL manipulation. Assignments will be based on candidate’s skill set, interests, and enthusiasm for ongoing personal growth. This position requires and rewards candidate with strong personal initiative, work ethic, and the ability to develop expertise in both fixed income markets and the technology needed to deliver analytical capabilities for these markets.
工作地點：
台北市信義區 松智路1號13樓
工作時間：
日班
工作性質：
全職
職務類別：
軟體工程師 、 網路管理工程師
工作待遇：
面議
需求人數：
1人
到職日期：
不限
職缺更新：
2017/4/28
求才條件
身份類別：
不拘
學歷限制：
碩士 以上畢業
科系限制：
不拘
工作經驗：
不拘
語言能力：
英文 聽:精通 說:精通 讀:精通 寫:精通
專業憑證：
Java OCA
附加條件：
 Academic Background: MS in Computer Science or quantitative fields such as Engineering, Mathematics, Financial Engineering, or Operations Research with outstanding academic achievement (include GPA in resume). 2. Required Skills: Strong analytical and cross region communication ability. Experienced in Java programming on Unix/Linux, with strong design and implementation fundamentals. Working knowledge of relational database, JavaScript, HTML, and ActionScript. HTML5 is a plus. For more information, please go to http://www.yieldbook.com/ Please send your resume in English to sophie.huang@citi.com and chiayu.hsu@citi.com
工作福利
    "
Programmer/Analyst II (Tooling),"
Job description
      Job Summary
Develops, codes, tests, debugs, documents, maintains, modifies and installs programs.
Essential Duties & Responsibilities
 May perform all duties of the Programmer Analysts I. Produces technical specifications to match business requirements of low level complexity projects which may include report rating & minor enhancements. Develops & executes test plans. Interacts with functional resource to understand &/or clarify requirements. Develops solution per our technical analysis to match functional specification. Works with senior programmer to prepare technical specifications for more complex projects.
Education & Experience Requirements
 Degree in Computer Science or related discipline or 2 to 4 years exp. Must be knowledgeable in at least 2 of the following program languages. Knowledge of RDMS & SQL. Organizational skills. Good logical, analytical & mathematical skills. Effective communication skills both verbal & written. Good working knowledge of standard computer operating systems, i.e. Microsoft, Unix. Understand object oriented concepts. Understanding of database objects, tables, views, keys, indexes, stored procedures. Understanding of software design methodologies.

    "
Senior Java Developer,"
Job description
      Location: Taipei/Tainan No of Requirements: 4   Job description: As a senior Java developer, you will participate in planning & implementing software solutions for enabling Industry 4.0 capability for a variety of scenarios. You will take a key role in the development of applications providing services to manage manufacturing processes and handle data. Simple interfaces are also needed to visual present progress and results. We are looking for energetic and skillful talent to join our team and make things happen.   Our primary tools are centered on Java and related frameworks, with development mostly done in the Eclipse IDE. Experiences with these tools are highly preferred, but above all, we value your desire to learn, understand new things and to work with others as part of a team. Being a senior member of the team working on a new domain, you will be able to make sound judgement based on available options and good evidence to back up your choices in tech and design.   Qualifications Bachelor’s degree or above, in Computer Science/Electrical Engineering or related domain At least 2 years of experience in developing Java applications, working with Spring, JSON and relevant tools, frameworks, as well as databases   Desired Skillset: Java & related frameworks Swing, SWT or similar GUI frameworks Familiar with development in Eclipse IDE Familiar with Eclipse frameworks Bonuses: Experiences in C/C++, C# Experiences in client-side Web development (JavaScript & JS frameworks such as jQuery, React.js, …) Familiarity with DBs (relational/non-relational) Familiarity with software engineering (version control, testing, …)
    "
Senior iOS Developer,"
Job description
      A cloud-based streaming company provides the best multi-screen user experience for audiences all over the world.
Responsibilities
 Be responsible for designing, coding, testing, debugging, evaluating, and documenting new application development on mobile platformsParticipate in code and architecture reviews.Passion for creating exceptional software.
Qualifications
Bachelors degree or equivalent in computer scienceStrong experience with iOS development (ObjC/Swift)Familiar with OOP、Design patternsHas open source development experience.

"
Team Lead Who Codes (Scrum Master),"
Job description
      What if we told you that you can achieve more at TomTom in less time than at any other company?
From coding the next product revolution, to selling it, we always want inspired people to join us.
Find the right vacancy for you? Please click Apply. We look forward getting to know you!
How about joining the most advanced Agile Software Development company in Taiwan? Our Navigation Engine team is looking for an enthusiastic Associate Scrum Master who can support us to achieve more. With us Agile is not just a simple daily stand up or a sprint planning, it’s in our culture, it’s in our DNA.
A Associate Scrum Master at TomTom is a curious Software Engineer who cares about continuous improvement, craftmanship and has the capacity to influence others. You are a host leader who can think beyond the standard Agile, Scrum, Kanban, XP, Scrumban textbook examples. You are aware that Agile is rather a mindset instead of a set of Scrum rituals. More importantly you recognise yourself in all of the following 6 attributes responsible, humble, collaborative, commited, influential, knowledgeable. Because you like technology and people, your dream job is a combination of both.
In Short We Are Looking For a Multiplier Who
 Act as catalyst for continuous improvement so that we deliver products we are proud of. Has passion for clean, easy to read and maintainable C++ code. Has good object-orientated software design abilities. Speak your mind, ask questions and share ideas. Has great observation, facilitating and influencing skills Tries out new things non stop and is not afraid to fail
What Can You Expect From Us
 With more than 150 Agile teams worldwide we have plenty of experience to share with you. A complete Agile environment with all Agile roles, whiteboards, sticky notes, poker cards, lego etc. A collaborative, entrepeneurial and fail friendly culture Our office is just opposite to the Taipei Main station! Take it easy in the morning, any time before 10AM is ok. Team outings, innovation days, indefinite contract, flexible benefits, minimum 15 annual leave days, collective health insurance, health check pension scheme, up to 50% discount on products, bonus scheme.
WE ARE NAVIGATION AND MORE Wearable Technology, Action Cameras, Mobile Applications, Portable Navigation Devices, Automotive Components, Fleet Management Systems, Location Technology Products, Real Time Traffic, Map Information, Navigation Services, and Licensing. Five years from now we will be active in areas we haven’t yet dreamed of.
If you would like to be part of this winning team and would like to help us further position ourselves as the authority in location and navigation solutions, please apply today!
Pre-employment screening of all external candidates is part of the selection process.
    "
台灣單車配件國際品牌_iOS Developer,"
Job description

工作內容
 3 年以上iOS開發經驗 熟悉 iOS 開發且瞭解框架運作原理 熟悉Design pattern 後端API串接經驗 請務必附上作品或作品連結，並敘述自己參與開發的部分
相似工作
             
此公司其他職缺
                    
工作條件
BLE 開發經驗，喜愛或有運動習慣。我們希望找到勇於挑戰自我，願意主動發現並解決問題，並且快速學習的夥伴，如果您有這些特質，我們歡迎您來和我們談談！
 工作氣氛自由開放，並且有資深的工程師帶領，我們希望團隊的每個人都可以一起成長，成為強者。 提供電腦，升降電腦桌和人體工學椅，並且提供護眼外接螢幕。 零食點心，讓大家工作的舒服是我們的基本原則。 辦公大樓有附設健身房（憑員工證免費使用），我們重視 work-life balance。
職務類別
軟體專案主管、其他資訊專業人員
接受身分
不拘
工作待遇
月薪 6萬~8萬5千元
工作經歷
3年以上
上班地點
台北市南港區南港軟體園區
學歷要求
大學以上
管理責任
不需負擔上班時段
日班可上班日
不限 科系要求
不拘 擅長工具
不拘 工作技能
不拘 相關證照
不拘 具備駕照
不拘 語文條件
不拘
"
(GBS CIC) Application Developer-Process Integration,"
Job description
      Summary
The successful candidate in this role is required to involves the process, life cycle and creation of the software solution to our customers in semiconductor/flat panel/ solar business. The candidate will work closely with critical stakeholders in using languages such as C++ to develop the necessary specifications for software. Developers may also test, debug and improve generally faulty applications for clients.
Role & Responsibility
 Support user requirement discussion, analysis, design, and documentation with CIM users of electronics industry, especially semiconductor, solar, FPD industry. Participate in developing, testing, deploying, and maintaining SW solutions for computer integrated manufacturing (CIM) related area for semiconductor, flat panel, solar, and electronics business. Provide training to clients on proper use of software solutions. Handle client’s inquiries and resolve client technical issues

    "
【DB40-03302】Small Cell SW Protocol Enginneer/Senior Engineer,"
Job description

工作內容
工作說明：
 SW Development/Maintenance-Uu/S1/X2 Implement/Optimize RRM/SON modules Develop test case Provide worldwide on-site support of IOT/FT/OT
工作地點：
新北市中和區 建康路119號10樓
工作時間：
日班 說明：09:00~18:30
休假制度：
週休二日
是否出差：
需出差
工作性質：
全職
職務類別：
軟／韌體測試人員 、 軟體工程師
工作待遇：
面議
需求人數：
1人
到職日期：
不限
職缺更新：
2017/4/28
求才條件
身份類別：
不拘
學歷限制：
大學 以上畢業
科系限制：
資訊工程學類 , 電機工程學類 , 電子工程學類 , 通信學類
工作經驗：
1年以上工作經驗
語言能力：
英文 聽:中等 說:中等 讀:中等 寫:中等
附加條件：
Experienced at developing SW in Linux; Fair skill in C Programming 1. Good Knowledge of architecture/ operation of LTE; Familiar with 3GPP spec of protocal stack; Experienced at debugging system/ performance issues in embedded system
    "
Software Development Engineer 2,"
Job description
      Req # APRD924
Functional Area R&D
Position Overview As the Software Development Engineer, you will be handling the following scopes:
Responsibilities
 Develop software solutions on Linux from specification to implementation, study systems flow, data usage, and work processes, and follow the software development lifecycle Determine operational feasibility by evaluating analysis, problem definition, requirements, solution development, and proposed solutions Design, develop and maintain system configuration management and user interface in both command line and web server mode Document and demonstrate solutions by developing documentation, flowcharts, layouts, diagrams, charts, code comments and clean up code Improve system performance by conducting systems analysis, profile and perform tuning for multi-core system Recommend and implement the changes in software OS; work in collaboration with QA engineers to develop testing tools and scripts, debug and bug fixing Provide information by collecting, analyzing, and summarizing development and service issues.
Requirements
 At least 3 to 5 years of relevant experiences Knowledge of common networking protocols, especially tcp/ip stack Knowledge of linux operation system Experience in C/C++ programming
Education Requirement
 Bachelor or Master’s degree in Computer Science, Electronic Engineering or related

    "
"2017 Summer Intern, Search Software Engineer","
Job description
      A Little About Us
Yahoo is focused on making the world’s daily habits more inspiring and entertaining. By creating highly personalized experiences for our users, we keep people connected to what matters most to them, across devices and around the
globe.
A Lot About You
Are you passionate about Search, Advertising and Web technologies? Do you like to take challenges and solve difficult problems? Do you want to have the satisfaction that millions of users use your product every day? If the answers are yes, this is the place for you. Yahoo provides a stage for people to learn and build state-of-the-art internet products that are the daily habits of people around the world.
Your Day
 Develop modern, beautiful, personal, and relevant Search experiences across devices Implement on top of real-time measurement frameworks and evaluate the impact of new features with Big Data technology Develop internationalization and localization features and deploy to global markets Interact with smart and talented engineers from different regions Work in a fun and innovative environment
You Must Have
 Bachelor Degree or above in Computer Science or related Engineering discipline Good understanding of CS fundamentals (algorithms, data structures, object oriented programming, design patterns) Solid programming experience in either C/C++, Java, PHP or Javascript Familiar with Unix-like environments is a plus Proactive, good interpersonal and problem solving skill Team player and able to work independently
Primary Location
Taiwan-Taipei City-Taipei
    "
"Performance Software Engineer, Mobile Devices","
Job description
      Google's software engineers develop the next-generation technologies that change how billions of users connect, explore, and interact with information and one another. Our products need to handle information at massive scale, and extend well beyond web search. We're looking for engineers who bring fresh ideas from all areas, including information retrieval, distributed computing, large-scale system design, networking and data storage, security, artificial intelligence, natural language processing, UI design and mobile; the list goes on and is growing every day. As a software engineer, you will work on a specific project critical to Google’s needs with opportunities to switch teams and projects as you and our fast-paced business grow and evolve. We need our engineers to be versatile, display leadership qualities and be enthusiastic to take on new problems across the full-stack as we continue to push technology forward.
In this role, you will work with system-on-a-chip (SoC) architects and software teams to co-design future mobile systems at Google. You will be working on new devices, chips, and architectures to analyze performance and power. Key activities include one or more of: evaluating existing devices, creating new sophisticated workloads, tools, and metrics that enable study of real-world user experience pre-Silicon, working with simulation models, and participating in future HW and SW architecture definition.
Google's mission is to organize the world's information and make it universally accessible and useful. Our Consumer Hardware team researches, designs, and develops new technologies and hardware to make our user's interaction with computing faster, more powerful, and seamless. Whether finding new ways to capture and sense the world around us, advancing form factors, or improving interaction methods, our Consumer Hardware team is making people's lives better through technology.
Responsibilities
Characterize end-to-end performance of interactive mobile workloads pre- and post-Silicon and communicate the analysis results in both qualitative and quantitative fashion. Create scripts and tools to automate evaluation of workloads on simulators, emulators, and existing devices. Define realistic scenarios, build tools and/or simulators, write representative benchmarks, and perform analysis to drive architectural decisions to optimize user experience. 
Qualifications
Minimum qualifications:
MS degree in EE or CS or equivalent practical experience. Experience with C or C++ and scripting languages. 
Preferred Qualifications
PhD degree in EE or CS or equivalent practical experience. Experience with silicon architecture and design, with the ability to root cause performance bottlenecks in consumer devices. Experience bringing up full SW stacks including Android/ChromeOS, drivers, firmware, graphics stack, applications, and application test automation. Experience with full system and architectural simulators. Hands-on experience with performance evaluation for mobile devices and in analyzing phones’ power/perf. Knowledge of hardware performance monitors and profiling. Good understanding of key concepts in computer architecture. 
At Google, we don’t just accept difference - we celebrate it, we support it, and we thrive on it for the benefit of our employees, our products and our community. Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. If you have a disability or special need that requires accommodation, please let us know.
To all recruitment agencies Google does not accept agency resumes. Please do not forward resumes to our jobs alias, Google employees or any other company location. Google is not responsible for any fees related to unsolicited resumes.
    "
IT SOFTWARE ENGINEER - ENGINEERING AND TECHNOLOGY DEVELOPMENT,"
Job description
IT Software Engineer – Engineering and Technology Development
We are looking for skilled, entry level Software Engineers that aspire to learn, enjoy helping others, love to innovate, and can apply the right technologies to solve a wide range of software problems. To be a successful candidate, you must demonstrate a passion for learning new domains, system architectures, languages, and operating systems. You must possess strong communication and problem solving skills, which you will use to work with customers, fix problems, and collaboratively drive improvements in application functionality and performance. And you will be dedicated to the creation and maintanence of innovative software that enables Micron’s engineering teams to deliver products that power our customer’s innovation.
The Engineering And Technology Development Team Is An Organization Focused On Software Solutions In The Following Categories
As a Software Engineer working in the Engineering and Technology Development Software Team, you will have the opportunity to develop and support solutions using a broad set of technologies.
Defect and Failure Data Collection and Categorization solutions : Massive amounts of wafer and die-level defect and electrical failure data used to evaluate yield, grade product, categorize defects and failures, and identify and fix design and process issues.
Data Visualization, Wafer Mapping, and Reporting Tools - Innovative solutions that Engineers use to report and display large amounts of data in ways that make it easier to see patterns and identify problems.
Advanced Image Processing and Analysis – Innovative solutions applying a variety of computer vision and machine learning techniques to analyze images, perform calculations, and recognize problems.
Laboratory Mangagment and Product Verification – Solutions enabling laboratory workflow, information management, and vendor product verification within our Chemistry, Yield Enhancement, Incoming, and other lab environments.
R&D Process Capability Improvement – Large, evolving system(s) to manage process maturity and the manufacturing capability of each “process unit” developed in R&D.
The customers for our solutions cross the entire breadth of Micron’s Engineering disciplines focused on technology development, product engineering, yield improvement, and production. You will be required to work directly with customers and software engineering peers to understand and fix issues, identify and address root cause problems, and collaboratively develop new tools and functionality.
Qualifications
Qualified candidates will have good communication, problem solving skills, passion for learning, and ability to work in a team environment. Candidates should also be organized, motivated by challenges, enjoy technology, and willing to share their ideas. Ideal candidates will also have:
A clear focus on the customer service.A drive to continuously learn and improve. The ability to enjoy working with both customers and peers in a positive professional manner.The ability to work on several tasks at once as well as work with minimal supervision.Flexibility with work schedule maintaining a high level of commitment.The ability to effectively communicate with groups across different departments, sites, and geographies.A proven ability to drive for results, eliminate distractions and place the proper focus on the tasks necessary for success.Ability and willingness to travel internationally.Familiarity and/or experience with the Agile methodology and tools like JIRA, Git, BitBucket, and Confluence.Familiarity with Incident Management processes and terminology.Familiarity with semiconductor manufacturing.Familiarity and/or experience with the Agile methodology.
Experience In The Following Technologies Is Preferred
LinuxC++, Perl, Java, JavaScript, AngularJSOne or more of the following: MS SQL Server, Oracle, MySQL
Experience In The Following Technologies Is a Plus
WindowsC#, Python, PHP, ASP.NETMicrosoft .NET Framework and MVC architectureClient/Server, Web Services, Web, and Mobile development methodologies
Education
Bachelor of Science Degree in Computer Science or Information Systems is required. Equivalent experience and other related certifications will be considered.
Keywords: Taichung, Taiwan || Taichung City (TW-TXG) || Taiwan (TW) || SGA || Entry || Regular || Information Systems and Technology || [[mfield1]] ||
    "
106年研發替代役-System Software Engineer (CPU),"
Job description

工作內容
工作說明：
x86電腦系統的System BIOS、Firmware、Driver、Application的撰寫.x86電腦架構 (CPU, DRAM, USB, …)的研究及相關software撰寫.
工作地點：
新北市新店區 中正路533號
工作時間：
日班 說明：08:45~17:45
休假制度：
週休二日
工作性質：
全職 此為研發替代役職務，應徵者須具備研發替代役資格
職務類別：
軟體工程師 、 韌體工程師
工作待遇：
面議
需求人數：
1人
到職日期：
不限
職缺更新：
2017/4/28
求才條件
身份類別：
不拘
學歷限制：
碩士 以上
科系限制：
電機工程學類 , 電子工程學類 , 通信學類 , 資訊工程學類
工作經驗：
不拘
電腦專長：
C/C++
工作福利
"
"DO-[台北]新創AR/VR公司找Backend Software Engineer/Architect, 1-1.5M","
Job description
      工作內容
工作說明：
這是一間超棒的AR/VR團隊 研發團隊來自美國加州FIDM、台大電機博士、交大電控碩士、工研院等專業領域，成功開發穿越實境多項跨國專利的雲端及穿戴裝置技術 年薪保障14個月!
Backend Software Engineer/Architect, 1-1.5M
工作內容：
 Deploy exciting new Tinder features
 Help us scale to meet the extraordinary demand
 Build quality tools and frameworks to ensure a high quality product
需求條件：
 中等 ～ 專家級後端經驗
 Javascript 開發經驗
 有 Node.js, MongoDB 和 Redis 的開發經驗
 解決深度問題的熱情
 有 API 設計經驗
 有開發 scale and high-traffic 應用程式經驗
 強而有力 API testing 經驗
Bonus Points If You Have
 有 Elasticsearch 的開發經驗
 熟悉以下 Angular.js, React.js, Vue.js
 雲端服務的 AWS, Azure, Google Cloud Engine or Firebase 開發經驗
 Prior startup experience is fantastic (but not necessary); being scrappy will help you hit the ground running.
#應徵方式：
 直接點選右上角【我要應徵】 寄履歷至【dorothy@recruitexpress.com.tw】標題註明應徵職務 撥打(02)8780-6811 找【Dorothy陳小姐】
工作地點：
新北市新莊區
工作時間：
日班
休假制度：
週休二日
工作性質：
全職
職務類別：
軟體工程師 、 系統分析師
工作待遇：
面議
需求人數：
1人
到職日期：
一個月內
職缺更新：
2017/5/2
求才條件
身份類別：
一般求職者
學歷限制：
不拘
科系限制：
不拘
工作經驗：
不拘
語言能力：
英文 聽:中等 說:中等 讀:中等 寫:中等
工作福利
    "
Senior Software Engineer (DFT/CAD),"
Job description
      Jobid: 56051556
Job Title: Senior Software Engineer (DFT/CAD)
Location: Taiwan, Taipei
What You’ll Be Doing
Nvidia's DFT team has been working on world leading cutting edge technologies to allow super large scale SOCs to be produced for mass market. We are looking for a talented software engineer who is willing to take challenges and delivery high quality work which will make big impact to the baseline of Nvidia.
Work with the implementation teams to develop strategies for new features and enhancementsDevelop needed tools to help with IC design and productionSupport execution of the tools and flows to un-gate design processProper documentation and promotion of new technologiesWhat we need to see: 
MSCS/MSEE with 2+ year experienceProficient in C++ based software system developmentHardware and testing knowledge is necessary to perform the functionWays to stand out from the crowd: 
Has DFT backgroundKnows Simulators (VCS, etc.) and debug environments (Verdi, etc.)Expertise in scripting languages (TCL, Perl, Python)
THE WORLD LEADER IN VISUAL COMPUTING
For more than two decades, NVIDIA has pioneered visual computing, the art and science of computer graphics.
With a singular focus on this field, we offer specialized platforms for the gaming, professional visualization, data center and automotive markets.
Our work is at the center of the most consequential mega-trends in technology — virtual reality, artificial intelligence and self-driving cars.
Learn more about
"
